#options: 854x480 fps=24000/1001 timebase=1001/24000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=4 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=23 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1673 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:25.34 aq:10.77 tex:256312 mv:23468 misc:156 imb:1620 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:26.89 aq:17.22 tex:3261 mv:181 misc:702 imb:6 pmb:114 smb:1500 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:26.89 aq:24.00 tex:1 mv:3 misc:156 imb:0 pmb:1 smb:1619 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:26.89 aq:26.00 tex:0 mv:0 misc:144 imb:0 pmb:0 smb:1620 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:26.89 aq:26.00 tex:0 mv:0 misc:144 imb:0 pmb:0 smb:1620 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:29.76 aq:18.71 tex:140 mv:42 misc:290 imb:0 pmb:15 smb:1605 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:28.33 aq:25.00 tex:51 mv:17 misc:196 imb:0 pmb:7 smb:1613 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:27.61 aq:27.00 tex:0 mv:0 misc:144 imb:0 pmb:0 smb:1620 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:29.05 aq:28.00 tex:0 mv:0 misc:144 imb:0 pmb:0 smb:1620 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:21.76 aq:11.68 tex:26601 mv:503 misc:1160 imb:24 pmb:464 smb:1132 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:25.76 aq:22.10 tex:48 mv:16 misc:192 imb:0 pmb:6 smb:1614 d:- ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:27.76 aq:27.00 tex:0 mv:0 misc:144 imb:0 pmb:0 smb:1620 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:23.76 aq:21.65 tex:27 mv:11 misc:170 imb:0 pmb:3 smb:1617 d:- ref:0 ;
in:16 out:13 type:P dur:2 cpbdur:2 q:17.49 aq:7.35 tex:92513 mv:657 misc:910 imb:47 pmb:651 smb:922 d:- ref:0 ;
in:14 out:14 type:B dur:2 cpbdur:2 q:19.63 aq:16.25 tex:46 mv:52 misc:286 imb:0 pmb:16 smb:1604 d:- ref:0 ;
